MEMORIAL OAK BRANCH 1,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
1,NA,NA,,NA,,1.1,NA,,NA,b
1.13,end,5.6,,95,,end,3.4,,105.4,b
1.16,end,1.78,,17.8,b,end,1.1,,10,b
1.2,1.3,27.3,,204.4,,end,3.1,,53,
1.5,1.6,18.8,,69.4,,1.5.*5,5.2,,86.8,
1.7,1.8,15.3,,17.6,,1.7.1,8.3,,119.4,
1.8,1.9,13.2,,60.8,,1.8.1,9.8,,48.8,
1.1,1.2,25.2,,97,,end,3.1,,3.2,b
1.10.1,end,2.13,,116.4,,end,1.55,,11.8,
1.12.1*2,1.12.1*5,3.11,,14.2,,end,1.33,,5,
1.12.2,end,2.11,,58.6,b,end,2.19,,23.4,b
1.14.1,1.14.2,2.14,,33.2,,end,0.4,,1,b
1.3.1.1,end,1.55,,110.4,,end,0.61,,12.4,
1.5.1,end,2.84,,158,,end,2.76,,85.6,
1.5.2,end,1.95,,101.4,,end,1.36,,34.8,
1.6.1,1.6.2,3.35,,29.2,,end,1.06,,151.9,
1.7.2,1.7.3,6.76,,27,,end,2.07,,30.6,
1.7.3,end,5.2,,84.4,b,end,2.17,,85.8,
1.8.1.1,1.8.1.2,4.6,,46.4,,end,2.69,,20,b
1.8.1.2,1.8.1.2*5,4.3,,36.8,,end,2.03,,50.8,b
1.8.1.2*5,1.8.1.3,4.1,,49.6,,end,1.11,,34,
1.8.1.3,end,2.67,,122.2,,end,2.58,,45.4,
1.8.2,1.8.3,6.9,,44.8,,1.8.2.1,5.3,,7,
1.8.2.1,1.8.2.2,5,,48.6,,end,2.2,,112.6,
1.8.2.2,1.8.2.4,3.8,,53.4,,end,1.4,,71.8,
1.8.2.3,1.8.2.4,3.6,,46,,end,0.88,,11.6,
1.8.2.6,end,2.24,,111,b,end,2.28,,57.4,
1.8.3,1.8.4,4.7,,75.4,,end,3.7,,109.6,
1.8.4,end,3.8,,130.6,b,end,2.24,,121.8,
1.9.1,1.9.3,6.4,,45.8,,end,2.29,,125.2,
1.9.3,1.9.4,5.9,,93.2,,end,2.42,,54.4,b
1.9.4,1.9.5,3.8,,NA,,end,4.6,,NA,
1.9.5,end,NA,,NA,,end,NA,,NA,
1.9*1,1.9*5,9.3,,20.6,,end,2.33,,36.2,
1.9*5,1.1,8.2,,34,,end,1.17,,50.8,